,Ask,Bid,Expiry,Last,Open_Int,Quote_Time,Root,Strike,Symbol,Type,Underlying_Price,Update_Date,Update_Time,Vol,_id,iteration,Alert Level,Fifty Percent,Buy Price,Sell Price,Return Percent,Profit
0,1.1,0.85,2017-05-19,1.31,156.0,2017-04-24T10:16:09.000Z,AER,45.0,AER170519P00045000,p,45.32,20170424,22:36:42,2.0,AER_20170519_20170424_7_p_45.0,7.0,0.0339949806068903,True,1.1,1.45,0.318181818181818,-40.999999999999986
8,1.14,1.05,2017-08-18,0.83,128.0,2017-07-03T10:11:17.000Z,AEM,41.0,AEM170818P00041000,p,43.73,20170703,22:19:25,3.0,AEM_20170818_20170703_7_p_41.0,7.0,-0.030806737588652496,True,1.14,0.02,-0.9824561403508771,105.99999999999999
2,0.85,0.8,2017-12-15,0.8,30.0,2017-10-30T10:10:13.000Z,AEO,13.0,AEO171215P00013000,p,13.22,20171030,22:25:08,10.0,AEO_20171215_20171030_7_p_13.0,7.0,-0.039244186046511566,False,0.85,0.7,-0.17647058823529416,9.000000000000002
3,1.12,1.08,2017-12-15,1.09,5.0,2017-10-26T10:10:10.000Z,AEM,45.0,AEM171215P00045000,p,46.16,20171026,22:19:44,9.0,AEM_20171215_20171026_7_p_45.0,7.0,0.05028441410693956,False,1.12,1.33,0.18749999999999994,-26.999999999999996
0,1.18,1.03,2017-04-21,1.04,1307.0,2017-03-16T10:16:07.000Z,AFL,72.5,AFL170421P00072500,p,72.77,20170316,22:47:47,79.0,AFL_20170421_20170316_7_p_72.5,7.0,1.0116102280580512,True,1.18,0.04,-0.9661016949152542,107.99999999999999
5,0.95,0.8,2017-05-19,0.9,230.0,2017-04-04T10:16:07.000Z,AFSI,20.0,AFSI170519P00020000,p,21.44,20170404,22:52:56,82.0,AFSI_20170519_20170404_7_p_20.0,7.0,0.17318741450068414,True,0.95,7.8,7.2105263157894735,-691.0
11,1.11,0.98,2017-05-19,1.05,1818.0,2017-03-21T10:16:05.000Z,AFL,70.0,AFL170519P00070000,p,71.61,20170321,22:50:30,44.0,AFL_20170519_20170321_7_p_70.0,7.0,0.9825581395348838,True,1.11,0.03,-0.9729729729729729,102.0
2,1.05,0.85,2017-05-19,0.9,355.0,2017-04-05T10:16:07.000Z,AFSI,20.0,AFSI170519P00020000,p,20.45,20170405,22:52:58,16.0,AFSI_20170519_20170405_7_p_20.0,7.0,-0.0683371298405467,True,1.05,7.8,6.428571428571428,-681.0
9,1.17,1.12,2017-05-19,1.16,1886.0,2017-03-22T10:16:07.000Z,AFL,70.0,AFL170519P00070000,p,71.64,20170322,22:50:30,11.0,AFL_20170519_20170322_7_p_70.0,7.0,1.0064416748354574,True,1.17,0.03,-0.9743589743589743,107.99999999999999
1,1.25,1.05,2017-11-17,1.25,7.0,2017-10-09T10:10:08.000Z,AFAM,45.0,AFAM171117P00045000,p,48.05,20171009,22:47:09,12.0,AFAM_20171117_20171009_7_p_45.0,7.0,-0.05039525691699613,True,1.25,0.1,-0.9199999999999999,108.99999999999999
6,1.03,0.89,2017-05-19,1.16,1896.0,2017-03-23T10:16:06.000Z,AFL,70.0,AFL170519P00070000,p,72.33,20170323,22:50:31,11.0,AFL_20170519_20170323_7_p_70.0,7.0,1.0192629815745393,True,1.03,0.03,-0.970873786407767,94.0
4,1.2,1.0,2017-05-19,1.1,146.0,2017-04-24T10:16:09.000Z,AGCO,60.0,AGCO170519P00060000,p,61.6,20170424,22:54:59,1.0,AGCO_20170519_20170424_7_p_60.0,7.0,0.035468145906875095,True,1.2,0.1,-0.9166666666666666,103.99999999999999
3,0.95,0.8,2017-06-16,0.9,16391.0,2017-05-10T10:16:07.000Z,AFSI,12.5,AFSI170616P00012500,p,13.37,20170510,22:52:47,124.0,AFSI_20170616_20170510_7_p_12.5,7.0,0.043715846994535415,True,0.95,0.05,-0.9473684210526315,83.99999999999999
6,0.91,0.84,2017-05-19,0.9,1916.0,2017-03-24T10:16:07.000Z,AFL,70.0,AFL170519P00070000,p,72.47,20170324,22:50:28,11.0,AFL_20170519_20170324_7_p_70.0,7.0,1.0130555555555556,True,0.91,0.03,-0.967032967032967,82.0
1,0.95,0.85,2017-06-16,0.9,15836.0,2017-05-16T10:16:06.000Z,AFSI,12.5,AFSI170616P00012500,p,12.52,20170516,22:52:47,66.0,AFSI_20170616_20170516_7_p_12.5,7.0,-0.030209140201394313,True,0.95,0.05,-0.9473684210526315,83.99999999999999
6,1.22,1.14,2017-05-19,1.33,1922.0,2017-03-27T10:16:07.000Z,AFL,70.0,AFL170519P00070000,p,71.64,20170327,22:50:31,31.0,AFL_20170519_20170327_7_p_70.0,7.0,0.9902764272815671,True,1.22,0.03,-0.9754098360655737,113.0
6,0.92,0.86,2017-05-19,0.91,1921.0,2017-03-29T10:16:07.000Z,AFL,70.0,AFL170519P00070000,p,71.81,20170329,22:50:29,7.0,AFL_20170519_20170329_7_p_70.0,7.0,0.9861706541280597,True,0.92,0.03,-0.967391304347826,83.0
3,1.0,0.85,2017-08-04,1.05,550.0,2017-06-22T10:11:19.000Z,AG,8.0,AG170804P00008000,p,8.19,20170622,23:35:23,24.0,AG_20170804_20170622_7_p_8.0,7.0,0.038022813688212906,True,1.0,0.3,-0.7,64.0
6,0.92,0.83,2017-05-19,0.93,1921.0,2017-03-30T10:16:08.000Z,AFL,70.0,AFL170519P00070000,p,72.36,20170330,22:50:30,20.0,AFL_20170519_20170330_7_p_70.0,7.0,1.021793797150042,True,0.92,0.03,-0.967391304347826,83.0
0,0.9,0.8,2017-09-15,0.85,5308.0,2017-07-25T10:11:26.000Z,AFSI,15.0,AFSI170915P00015000,p,16.22,20170725,22:53:37,24.0,AFSI_20170915_20170725_7_p_15.0,7.0,0.031806615776081314,False,0.9,1.85,1.0555555555555556,-101.0
1,1.25,1.15,2017-05-19,1.24,2913.0,2017-04-05T10:16:07.000Z,AFL,72.5,AFL170519P00072500,p,72.98,20170405,22:50:33,3.0,AFL_20170519_20170405_7_p_72.5,7.0,1.01019143368682,True,1.25,0.03,-0.976,116.0
0,1.1,0.8,2017-06-16,1.9,100.0,2017-05-15T10:16:09.000Z,AGQ,33.0,AGQ170616P00033000,p,34.47,20170515,23:26:38,100.0,AGQ_20170616_20170515_7_p_33.0,7.0,0.032963739886125304,True,1.1,0.05,-0.9545454545454545,99.0
0,1.09,0.87,2017-05-19,0.87,3170.0,2017-04-18T10:16:07.000Z,AFL,72.5,AFL170519P00072500,p,73.95,20170418,22:50:36,35.0,AFL_20170519_20170418_7_p_72.5,7.0,1.011423908608731,True,1.09,0.03,-0.9724770642201834,100.0
0,1.04,0.85,2017-05-19,0.77,3222.0,2017-04-19T10:16:10.000Z,AFL,72.5,AFL170519P00072500,p,73.76,20170419,22:50:37,17.0,AFL_20170519_20170419_7_p_72.5,7.0,0.9967514889009207,True,1.04,0.03,-0.9711538461538461,95.0
5,0.85,0.8,2017-11-17,0.9,3279.0,2017-09-22T10:10:16.000Z,AG,7.0,AG171117P00007000,p,7.09,20170922,23:38:09,5.0,AG_20171117_20170922_7_p_7.0,7.0,0.035036496350364994,True,0.85,0.4,-0.5294117647058824,38.99999999999999
2,1.15,0.95,2017-07-21,1.7,40.0,2017-06-14T10:11:29.000Z,AGQ,35.0,AGQ170721P00035000,p,36.33,20170614,23:25:56,6.0,AGQ_20170721_20170614_7_p_35.0,7.0,0.04037800687285213,False,1.15,2.3,1.0,-120.99999999999999
5,1.0,0.8,2017-05-19,0.9,3724.0,2017-04-20T10:16:09.000Z,AFL,72.5,AFL170519P00072500,p,73.71,20170420,22:50:37,5.0,AFL_20170519_20170420_7_p_72.5,7.0,1.0038058991436727,True,1.0,0.03,-0.97,91.0
2,1.15,0.9,2017-08-18,1.0,6.0,2017-07-03T10:11:18.000Z,AGQ,31.0,AGQ170818P00031000,p,31.96,20170703,23:24:57,4.0,AGQ_20170818_20170703_7_p_31.0,7.0,-0.05499704316972204,True,1.15,0.1,-0.9130434782608695,98.99999999999999
7,1.3,1.07,2017-05-19,1.11,2591.0,2017-04-25T10:16:09.000Z,AFL,75.0,AFL170519P00075000,p,75.07,20170425,22:50:38,106.0,AFL_20170519_20170425_7_p_75.0,7.0,1.011252511721366,True,1.3,0.97,-0.2538461538461539,27.000000000000007
2,1.1,0.9,2017-09-15,1.65,33.0,2017-08-09T10:11:27.000Z,AGQ,33.0,AGQ170915P00033000,p,34.33,20170809,23:28:43,3.0,AGQ_20170915_20170809_7_p_33.0,7.0,0.04856444715943788,True,1.1,0.05,-0.9545454545454545,99.0
1,1.14,0.96,2017-07-21,1.26,8.0,2017-06-14T10:11:28.000Z,AFL,77.5,AFL170721P00077500,p,77.98,20170614,22:50:09,3.0,AFL_20170721_20170614_7_p_77.5,7.0,1.0020539152759949,True,1.14,0.08,-0.9298245614035087,99.99999999999999
2,1.25,1.05,2017-07-21,1.26,8.0,2017-06-15T10:11:22.000Z,AFL,77.5,AFL170721P00077500,p,77.73,20170615,22:50:12,3.0,AFL_20170721_20170615_7_p_77.5,7.0,0.990524967989757,True,1.25,0.08,-0.9359999999999999,111.0
1,1.22,1.07,2017-07-21,1.25,11.0,2017-06-16T10:11:22.000Z,AFL,77.5,AFL170721P00077500,p,77.98,20170616,22:50:12,5.0,AFL_20170721_20170616_7_p_77.5,7.0,1.0046272493573267,True,1.22,0.08,-0.9344262295081966,107.99999999999999
12,1.17,1.02,2017-08-18,1.04,129.0,2017-06-20T10:11:22.000Z,AFL,77.5,AFL170818P00077500,p,79.07,20170620,22:48:11,1.0,AFL_20170818_20170620_7_p_77.5,7.0,0.9952056522836232,True,1.17,0.01,-0.9914529914529915,109.99999999999999
